depth : 2905
node  : 2928
time  : 50ms

6,6,7,5,0,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
3,3,3,0,2,4,
0,10,10,5,2,4,
6,6,7,5,0,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
3,3,3,0,2,4,
0,10,10,5,2,4,
6,6,7,5,0,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
0,3,3,3,2,4,
0,10,10,5,2,4,
6,6,7,5,0,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
0,3,3,3,2,4,
0,10,10,5,2,4,
6,6,7,5,0,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,3,3,3,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,3,3,3,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,3,3,3,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,3,3,3,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,0,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,0,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,0,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,0,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,5,0,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,0,2,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,5,2,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,0,0,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,5,2,0,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,0,0,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,5,0,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
3,3,3,5,2,4,
0,10,10,5,2,4,
6,6,7,5,0,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,5,0,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
3,3,3,5,2,4,
10,10,0,5,2,4,
6,6,7,5,0,4,
8,0,7,0,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,5,0,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,5,0,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,5,0,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,5,0,4,
10,10,0,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,5,0,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,5,0,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,5,0,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,5,0,4,
0,10,10,5,2,4,
6,6,7,5,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

1,1,1,5,0,0,
3,3,3,5,0,4,
0,10,10,5,2,4,
6,6,7,0,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

1,1,1,5,0,0,
3,3,3,5,0,4,
10,10,0,5,2,4,
6,6,7,0,2,4,
8,0,7,0,2,0,
8,0,9,9,9,0,

1,1,1,5,0,0,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,0,2,4,
8,0,0,0,2,0,
8,0,9,9,9,0,

1,1,1,5,0,4,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,0,2,0,
8,0,0,0,2,0,
8,0,9,9,9,0,

1,1,1,0,0,4,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,0,2,0,
8,0,9,9,9,0,

0,1,1,1,0,4,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,0,2,0,
8,0,9,9,9,0,

0,0,1,1,1,4,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,0,2,0,
8,0,9,9,9,0,

0,0,1,1,1,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,1,1,1,0,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,0,0,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,5,0,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,0,2,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,5,2,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,0,0,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,0,2,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,0,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,1,1,1,2,4,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,0,0,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,0,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,0,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,5,2,0,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,0,0,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,0,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,0,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,2,0,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,0,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,2,0,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,0,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,2,4,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,0,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,2,4,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,0,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,2,4,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,0,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,2,4,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,0,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,4,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,0,4,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,0,1,1,1,4,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,0,1,1,1,4,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,0,4,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,4,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,0,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,3,3,3,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,0,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,0,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,5,2,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,0,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,2,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,2,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,2,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,5,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,0,2,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,0,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,0,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,0,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,0,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,3,3,3,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,3,3,3,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,3,3,3,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,3,3,3,0,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,0,3,3,3,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,0,3,3,3,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,0,3,3,3,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,0,3,3,3,4,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,0,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,0,3,3,3,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,0,3,3,3,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,0,3,3,3,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,0,3,3,3,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,3,3,3,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,3,3,3,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,3,3,3,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,3,3,3,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,0,1,1,1,
3,3,3,0,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,1,1,1,0,
3,3,3,0,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,1,1,1,0,0,
3,3,3,0,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

1,1,1,0,0,0,
3,3,3,0,0,0,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,0,0,3,3,3,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,0,0,3,3,3,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,0,0,3,3,3,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,0,0,3,3,3,
10,10,7,5,2,4,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,0,7,3,3,3,
10,10,7,5,2,4,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,0,7,3,3,3,
10,10,7,5,2,4,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,0,7,3,3,3,
10,10,7,5,2,4,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,0,7,3,3,3,
10,10,7,5,2,4,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

1,1,1,0,0,0,
0,0,7,3,3,3,
10,10,7,5,2,4,
0,6,6,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,1,1,1,0,0,
0,0,7,3,3,3,
10,10,7,5,2,4,
0,6,6,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,1,1,1,0,
0,0,7,3,3,3,
10,10,7,5,2,4,
0,6,6,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,0,1,1,1,
0,0,7,3,3,3,
10,10,7,5,2,4,
0,6,6,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,7,1,1,1,
0,0,7,3,3,3,
10,10,0,5,2,4,
0,6,6,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,7,1,1,1,
0,0,7,3,3,3,
0,10,10,5,2,4,
0,6,6,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,7,1,1,1,
0,0,7,3,3,3,
0,10,10,5,2,4,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,7,1,1,1,
0,0,7,3,3,3,
10,10,0,5,2,4,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,0,

0,0,7,1,1,1,
0,0,7,3,3,3,
10,10,0,5,2,0,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
0,0,7,3,3,3,
10,10,7,5,2,0,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
0,0,7,3,3,3,
10,10,7,5,2,0,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
0,0,7,3,3,3,
10,10,7,5,2,0,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
0,0,7,3,3,3,
10,10,7,5,2,0,
6,6,0,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
0,0,0,3,3,3,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
0,0,0,3,3,3,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
0,0,0,3,3,3,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
0,0,0,3,3,3,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
0,0,3,3,3,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
0,0,3,3,3,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
0,0,3,3,3,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
0,0,3,3,3,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
0,3,3,3,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
0,3,3,3,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
0,3,3,3,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
0,3,3,3,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
3,3,3,0,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
3,3,3,0,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
3,3,3,0,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
3,3,3,0,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,5,2,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
3,3,3,5,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,2,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
3,3,3,5,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,2,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
3,3,3,5,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
3,3,3,5,0,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,2,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,5,2,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

1,1,1,5,0,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,0,2,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

1,1,1,5,2,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,0,0,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

1,1,1,0,2,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,5,0,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

0,1,1,1,2,0,
3,3,3,5,2,0,
10,10,7,5,2,0,
6,6,7,5,0,4,
8,0,0,0,0,4,
8,0,9,9,9,4,

0,1,1,1,2,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,5,0,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,0,2,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,5,0,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,5,2,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,0,0,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,5,2,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,0,0,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,0,2,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,5,0,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,1,1,1,2,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,5,0,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,5,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,5,0,0,
3,3,3,5,2,0,
10,10,0,5,2,0,
6,6,7,0,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,5,0,0,
3,3,3,5,2,0,
0,10,10,5,2,0,
6,6,7,0,2,4,
8,0,7,0,0,4,
8,0,9,9,9,4,

1,1,1,0,0,0,
3,3,3,0,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,5,0,4,
8,0,9,9,9,4,

0,1,1,1,0,0,
3,3,3,0,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,5,0,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
3,3,3,0,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,5,0,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
3,3,3,0,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,5,0,4,
8,0,9,9,9,4,

0,0,0,1,1,1,
0,3,3,3,2,0,
0,10,10,5,2,0,
6,6,7,5,2,4,
8,0,7,5,0,4,
8,0,9,9,9,4,

0,0,1,1,1,0,
0,3,3,3,2,0,
